id_protac,linker_canonical,warhead_canonical,e3_ligand_canonical,smiles_canonical
1934,CC(=O)NCCCCCNC(=O)CO,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCCCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
1935,CC(=O)NCCCCCCNC(=O)CO,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCCCCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
1936,CC(=O)NCCOCCNC(=O)CO,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=CC2=C(N=C1N)N(C1CC1)C(=O)N(CC(=O)NCCOCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)C2=O
1937,CC(=O)NCCNC(=O)CO,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)CC)N)C(=O)N,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CCN1C(=O)N(CC(=O)NCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
1938,CC(=O)NCCCNC(=O)CO,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)CC)N)C(=O)N,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CCN1C(=O)N(CC(=O)NCCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
1939,CC(=O)NCCCCNC(=O)CO,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)CC)N)C(=O)N,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CCN1C(=O)N(CC(=O)NCCCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
1940,CC(=O)NCCCCCNC(=O)CO,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)CC)N)C(=O)N,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CCN1C(=O)N(CC(=O)NCCCCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
1941,CC(=O)NCCCCCCNC(=O)CO,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)CC)N)C(=O)N,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CCN1C(=O)N(CC(=O)NCCCCCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
1942,CC(=O)NCCOCCNC(=O)CO,[R1]N1C(=O)C2=CC(=C(N=C2N(C1=O)CC)N)C(=O)N,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CCN1C(=O)N(CC(=O)NCCOCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C(=O)C2=CC(C(N)=O)=C(N)N=C21
1943,CCCCCC=O,[R1]N1C2=CC=CC(=C2C(=N1)N)C3=CC(=CC=C3)NC(=O)NC4=CC=CC(=C4)C(C)C,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCC(=O)N3N=C(N)C4=C(C5=CC=CC(NC(=O)NC6=CC=CC(C(C)C)=C6)=C5)C=CC=C43)C(C)(C)C)C=C2)SC=N1
